./analysis/mapping/SRR6502193.genes.results	./analysis/mapping/SRR6502196.genes.results	./analysis/mapping/SRR6502199.genes.results	./analysis/mapping/SRR6502202.genes.results	./analysis/mapping/SRR6502205.genes.results	./analysis/mapping/SRR6502208.genes.results
Gm36606	0.00	0.00	0.00	0.00	0.00	0.00
Gm36607	0.00	0.00	0.00	0.00	0.00	0.00
Gm36608	1.29	0.00	0.00	0.00	0.00	0.00
Gm36610	0.00	0.00	0.00	0.00	0.00	0.00
Gm36611	5.73	0.00	0.00	0.00	0.00	0.00
Gm36613	0.00	0.00	0.00	0.00	0.00	0.00
Gm36614	0.00	0.00	0.00	0.00	0.00	0.00
Gm36617	0.00	0.00	0.00	0.00	0.00	0.00
Gm36618	0.00	0.00	0.00	0.00	0.00	0.00
Gm36619	0.00	0.00	0.00	0.00	0.00	0.00
Gm36620	0.00	0.00	0.00	0.00	0.00	0.00
Gm36627	0.00	0.00	0.00	0.00	0.00	6.00
Gm36628	0.00	0.00	0.29	0.00	0.00	0.00
Gm36629	0.00	0.47	0.67	0.00	0.57	0.35
Gm36631	0.00	0.00	0.00	0.00	0.00	0.00
Gm36633	0.00	0.00	0.00	0.00	0.00	0.00
Gm36634	0.00	0.18	0.00	0.14	0.00	0.00
Gm36635	0.00	0.00	0.00	0.00	0.00	0.00
Gm36639	0.00	0.00	0.00	0.00	0.00	0.00
Gm36640	0.00	0.00	0.00	0.00	0.00	0.00
Gm36641	0.00	0.00	0.00	0.00	0.00	0.00
Gm36642	0.00	0.00	0.00	0.00	0.00	0.00
Gm36644	0.00	0.00	0.00	0.00	0.00	0.00
Gm36648	0.00	0.00	0.00	0.00	0.00	0.00
Gm36649	0.00	0.00	0.00	0.00	0.00	0.00
Gm36651	0.00	0.00	0.00	0.00	0.00	0.00
Gm36653	0.00	0.00	0.00	0.00	0.00	0.00
Gm36660	0.00	0.00	0.00	0.37	0.28	0.39
Gm36661	0.00	0.00	0.00	0.00	0.00	0.00
Gm36665	0.00	0.00	0.00	0.00	0.00	0.00
Gm36667	0.00	0.00	0.00	0.00	0.00	0.00
Gm36669	0.00	0.00	0.00	0.00	0.00	0.00
Gm3667	0.00	0.00	0.00	0.00	0.00	0.00
Gm36670	0.00	0.00	0.00	0.00	0.00	0.00
Gm36671	0.00	0.00	0.00	0.00	0.00	0.00
Gm36672	0.00	0.00	0.00	0.00	0.00	0.00
Gm36674	0.00	0.00	0.00	0.00	0.00	0.00
Gm36675	0.00	0.00	0.00	0.00	0.00	0.00
Gm36677	0.00	0.00	0.00	0.11	0.00	0.00
Gm36678	0.00	0.00	0.00	0.00	0.00	0.00
Gm36680	0.00	0.00	0.00	0.00	0.00	0.00
Gm36681	1.89	0.97	2.05	4.65	2.98	4.05
Gm36684	0.16	0.00	0.24	0.00	0.00	0.00
Gm36685	0.00	0.00	0.05	0.00	0.00	0.00
Gm36686	0.00	0.00	0.00	0.00	0.00	0.00
Gm36689	0.00	0.00	0.00	0.00	0.00	0.00
Gm36690	0.00	0.00	0.00	0.00	0.00	0.00
Gm36691	0.00	0.00	0.00	0.00	0.00	0.00
Gm36693	0.04	0.01	0.02	0.00	0.00	0.02
Gm36696	0.00	0.28	0.39	1.98	2.07	1.26
Gm36702	0.00	0.00	0.00	0.00	0.00	0.00
Gm36703	0.00	0.00	0.00	0.00	0.00	0.00
Gm36709	0.00	0.00	0.00	0.00	0.00	0.00
Gm36710	0.00	0.00	0.00	0.00	0.00	0.00
Gm36712	1.42	0.32	0.86	5.26	6.63	3.54
Gm36715	0.28	0.04	0.00	0.00	0.00	0.03
Gm36718	0.00	0.00	0.00	0.00	0.00	0.00
Gm36719	0.00	0.00	0.00	0.00	0.00	0.00
Gm36720	0.00	0.00	0.00	0.00	0.00	0.00
Gm36722	0.00	0.00	0.00	0.00	0.00	0.00
Gm36723	0.08	1.05	2.26	4.74	3.41	3.73
Gm36726	0.00	0.00	0.00	0.00	0.00	0.00
Gm36732	0.00	0.00	0.00	0.00	0.00	0.00
Gm36734	0.00	0.00	0.00	0.00	0.00	0.00
Gm36735	0.00	0.00	0.00	0.00	0.00	0.00
Gm36736	0.00	0.00	0.00	0.00	0.00	0.00
Gm36737	0.00	0.00	0.00	0.00	0.00	0.00
Gm36738	1.72	1.29	1.20	16.49	12.57	21.20
Gm36740	0.00	0.00	0.00	0.00	0.00	0.00
Gm36741	0.00	0.00	0.00	0.00	0.20	0.00
Gm36742	0.00	0.00	0.00	0.00	0.00	0.00
Gm36743	0.00	0.00	0.00	0.00	0.00	0.00
Gm36744	0.00	0.00	0.00	0.00	0.00	0.00
Gm36745	0.00	0.00	0.00	0.00	0.00	0.00
Gm36746	0.00	0.00	0.00	0.00	0.00	0.00
Gm36747	0.00	0.00	0.00	0.00	0.00	0.00
Gm36748	0.00	0.00	0.00	0.00	0.00	0.00
Gm36749	0.00	0.00	0.00	0.00	0.00	0.00
Gm36750	0.00	0.00	0.00	0.00	0.00	0.00
Gm36751	0.00	0.00	0.00	0.00	0.00	0.00
Gm36752	0.00	0.00	0.00	0.00	0.00	0.00
Gm36753	0.11	1.12	2.19	4.65	10.93	9.63
Gm36754	0.00	0.00	0.00	0.00	0.00	0.00
Gm36756	0.83	1.81	4.40	1.25	1.52	0.23
Gm36757	0.31	0.00	0.00	0.00	0.00	0.00
Gm36760	0.00	0.00	0.00	0.00	0.00	0.00
Gm36763	0.00	0.08	2.47	0.19	0.00	0.00
Gm36764	0.00	0.00	0.00	0.00	0.00	0.00
Gm36766	0.00	0.00	0.00	0.00	0.00	0.00
Gm36767	0.00	0.00	0.00	0.00	0.00	0.00
Gm36768	0.46	0.00	0.00	0.00	0.00	0.00
Gm36769	0.00	0.00	0.00	0.00	0.00	0.00
Gm36771	0.00	0.00	0.00	0.00	0.00	0.00
Gm36772	0.00	0.00	0.00	0.00	0.00	0.00
Gm36774	0.00	0.00	0.42	13.77	20.73	31.91
Gm36778	0.00	0.00	0.00	0.00	0.00	0.00
Gm3678	0.00	0.00	0.00	0.00	0.00	0.00
Gm36783	0.00	0.00	0.00	0.00	0.00	0.00
Gm36784	0.00	0.00	0.00	0.00	0.00	0.00
Gm36785	0.00	0.00	0.00	0.00	0.00	0.00
Gm36787	0.60	0.78	0.61	0.76	0.00	0.00
Gm36788	0.00	0.00	0.00	0.00	0.00	0.00
Gm36789	0.00	0.00	0.00	0.00	0.00	0.00
Gm36790	0.00	0.00	0.00	0.00	0.00	0.00
Gm36793	0.00	0.00	0.00	0.00	0.00	0.00
Gm36794	0.00	0.00	0.00	0.00	0.00	0.00
Gm36795	0.00	0.00	0.00	0.00	0.00	0.00
Gm36797	0.00	0.00	0.00	0.00	0.00	0.00
Gm36798	0.00	0.00	0.00	0.00	0.00	0.00
Gm36799	0.00	0.00	0.00	0.00	0.00	0.00
Gm36801	0.00	0.00	0.00	0.00	0.00	0.00
Gm36802	0.00	0.00	0.00	0.00	0.00	0.00
Gm36803	0.00	0.00	0.00	0.24	0.00	0.00
Gm36808	0.00	0.00	0.00	0.00	0.00	0.00
Gm36809	0.00	0.00	0.00	0.00	0.00	0.00
Gm36814	0.00	0.00	0.00	0.00	0.00	0.00
Gm36816	2.96	0.28	0.26	1.64	1.83	2.09
Gm36817	0.00	0.00	0.00	0.00	0.00	0.00
Gm36818	0.00	0.00	0.00	0.00	0.00	0.00
Gm36819	0.00	0.00	0.00	0.46	0.00	0.00
Gm36822	0.00	0.00	0.00	0.00	0.00	0.00
Gm36823	0.00	0.00	0.00	0.00	0.00	0.00
Gm36824	0.00	0.00	0.00	0.00	0.00	0.00
Gm36826	0.07	0.07	0.05	0.12	0.03	0.03
Gm36827	0.00	0.00	0.00	0.00	0.00	0.00
Gm36830	0.00	0.00	0.00	0.00	0.00	0.00
Gm36831	0.00	0.00	0.00	0.00	0.00	0.00
Gm36834	0.00	0.00	0.00	0.00	0.00	0.00
Gm36839	0.00	0.00	0.00	0.55	0.51	0.00
Gm36840	0.00	0.00	0.00	0.00	0.00	0.00
Gm36841	0.00	0.00	0.00	0.00	0.00	0.00
Gm36843	0.00	0.00	0.00	0.00	0.00	0.00
Gm36844	0.53	0.00	0.00	0.92	0.00	0.00
Gm36845	0.00	0.00	0.00	0.00	0.00	0.00
Gm36847	0.00	0.00	0.00	0.00	0.00	0.00
Gm36848	0.00	0.00	0.00	0.00	0.00	0.00
Gm36849	0.00	0.00	0.00	0.00	0.00	0.00
Gm3685	0.00	0.00	0.00	0.00	0.00	0.00
Gm36851	0.00	0.00	0.00	0.00	0.00	0.00
Gm36852	0.00	0.00	0.00	0.00	0.00	0.00
Gm36853	0.00	0.00	0.20	1.53	1.07	3.91
Gm36855	0.00	0.00	0.00	0.00	0.00	0.00
Gm36856	0.00	0.00	0.00	0.00	0.54	0.00
Gm36857	0.00	0.00	0.50	0.00	0.00	0.00
Gm36859	0.00	0.00	0.00	0.00	0.00	0.00
Gm36860	0.00	0.00	0.00	0.00	0.44	0.97
Gm36862	0.00	0.00	0.00	0.00	0.00	0.00
Gm36863	0.00	0.00	0.00	0.00	0.00	0.00
Gm36864	0.64	0.00	1.31	0.46	0.00	0.00
Gm36865	0.00	0.00	0.00	0.00	0.00	0.00
Gm36867	0.00	0.00	0.00	0.00	0.00	0.00
Gm36873	0.00	0.00	0.00	0.00	0.00	0.00
Gm36874	1.90	0.00	0.00	0.00	0.00	0.00
Gm36875	0.00	0.00	0.00	0.00	0.00	0.27
Gm36876	0.00	0.00	0.00	0.00	0.00	0.00
Gm36877	0.00	0.00	0.00	0.00	0.00	0.00
Gm36878	0.00	0.00	0.00	0.00	0.00	0.00
Gm36880	0.00	0.00	0.00	0.00	0.00	0.00
Gm36882	0.00	0.00	0.00	0.23	0.00	0.00
Gm36883	0.00	0.00	0.00	0.00	0.00	0.00
Gm36884	0.00	0.00	0.00	0.00	0.00	0.00
Gm36885	0.00	0.00	0.00	0.00	0.18	0.16
Gm36886	0.00	0.00	0.00	0.48	0.00	0.30
Gm36891	0.00	0.00	0.00	0.00	0.00	0.00
Gm36893	0.00	0.00	0.00	0.00	0.00	0.00
Gm36894	0.00	0.00	0.00	0.00	0.00	0.00
Gm36896	0.00	0.00	0.00	0.00	0.00	0.00
Gm36897	0.83	0.00	0.00	0.00	0.00	0.00
Gm36901	0.00	0.00	0.00	0.00	0.00	0.00
Gm36902	0.00	0.00	0.04	0.00	0.00	0.00
Gm36903	0.00	0.00	0.00	0.00	0.00	0.00
Gm36904	0.00	0.00	0.00	0.00	0.00	0.00
Gm36905	0.00	0.00	0.00	0.00	0.00	0.00
Gm36906	0.00	0.00	0.00	0.00	0.00	0.19
Gm36907	0.00	0.00	0.32	0.15	0.21	0.26
Gm36908	0.00	0.00	0.00	0.00	0.00	0.00
Gm36909	0.00	0.00	0.00	0.00	0.00	0.00
Gm36911	0.00	0.00	0.00	0.00	0.00	0.00
Gm36913	0.00	0.00	0.00	0.50	0.35	0.00
Gm36914	0.00	0.00	0.00	1.16	0.00	0.00
Gm36917	0.14	0.00	0.02	0.24	0.04	0.06
Gm36918	0.00	0.00	0.00	0.00	0.00	0.00
Gm36920	0.87	2.05	1.31	0.77	0.67	1.23
Gm36921	0.00	0.00	0.00	0.00	0.00	0.00
Gm36924	0.00	0.00	0.00	0.00	0.00	0.00
Gm36926	0.00	0.00	0.00	0.00	0.00	0.00
Gm3693	0.00	0.00	0.00	0.00	0.00	0.00
Gm3696	0.00	0.00	0.00	0.00	0.00	0.00
Gm37004	0.00	0.00	0.00	0.00	0.00	0.00
Gm37013	0.00	0.00	0.00	0.00	0.00	0.00
Gm37020	0.00	0.00	0.00	0.00	0.00	0.00
Gm3704	0.28	0.50	0.07	0.00	0.00	0.74
Gm37041	0.00	0.00	0.00	0.00	0.00	0.00
Gm37053	1.21	0.00	0.06	0.00	0.00	0.02
Gm37065	0.00	0.00	0.00	0.00	0.00	0.00
Gm37083	0.00	0.25	0.00	0.00	0.00	0.00
Gm37120	0.00	0.00	0.00	0.00	0.00	0.00
Gm3716	0.00	0.00	0.00	0.07	0.00	0.00
Gm3727	0.00	0.00	0.00	0.00	0.00	0.00
Gm3728	0.00	0.00	0.00	0.00	0.00	0.00
Gm37292	1.74	0.31	0.06	0.00	0.09	0.06
Gm37294	0.00	0.00	0.00	0.00	0.00	0.00
Gm37323	0.00	0.00	0.00	0.00	0.00	0.00
Gm37336	0.00	0.00	0.00	0.00	0.00	0.00
Gm3734	0.00	0.00	0.00	0.00	0.00	0.00
Gm3739	0.00	0.00	0.00	0.00	0.00	0.00
Gm3740	0.62	0.05	0.00	0.05	0.52	0.35
Gm37406	0.00	0.00	0.00	0.00	0.00	0.00
Gm37500	0.00	0.00	0.00	0.00	0.00	0.00
Gm3752	0.00	0.00	0.00	0.00	0.00	0.00
Gm37548	0.00	0.00	0.00	0.00	0.00	0.00
Gm3764	0.00	0.00	0.00	0.00	0.00	0.00
Gm37662	0.00	0.00	0.00	0.00	0.00	0.00
Gm37679	0.00	0.00	0.00	0.00	0.00	0.00
Gm3772	0.00	0.00	0.00	0.00	0.00	0.00
Gm3775	0.00	0.00	0.00	0.00	0.00	0.00
Gm3776	0.00	0.00	0.00	0.00	0.00	0.00
Gm37762	0.00	0.00	0.00	0.24	0.00	0.00
Gm37797	0.00	0.00	0.00	0.00	0.00	0.00
Gm378	0.00	0.00	0.00	0.00	0.00	0.00
Gm3785	0.00	0.00	0.00	0.00	4.24	0.00
Gm3787	0.00	0.00	0.00	0.00	0.00	0.00
Gm37896	0.00	0.00	0.00	0.00	0.00	0.00
Gm37915	0.37	0.00	0.50	0.34	0.00	0.00
Gm381	0.00	0.00	0.00	0.00	0.00	0.00
Gm38137	0.00	0.00	0.00	0.00	0.00	0.00
Gm38165	0.00	0.00	0.00	0.00	0.00	0.00
Gm382	0.00	0.00	0.00	0.00	0.00	0.00
Gm38250	0.23	0.17	0.64	0.00	0.00	0.26
Gm38293	2.87	2.40	2.26	0.94	0.94	5.30
Gm38326	0.00	0.00	0.00	0.00	0.00	0.00
Gm38331	0.00	0.00	0.00	0.00	0.00	0.00
Gm38388	0.00	0.00	0.00	0.00	0.00	0.00
Gm38396	21.98	4.58	5.74	3.20	5.97	1.87
Gm38397	0.00	0.00	0.00	0.00	0.00	0.00
Gm38402	0.00	0.00	0.00	0.00	0.00	0.00
Gm38403	0.00	0.00	0.00	0.00	0.00	0.00
Gm38404	0.00	0.00	0.00	0.00	0.00	0.00
Gm38405	0.00	0.00	0.00	0.00	0.00	0.00
Gm38407	0.00	0.00	0.00	0.00	0.00	0.00
Gm38409	0.00	0.00	0.00	0.00	0.00	0.00
Gm38410	0.00	0.05	0.00	0.00	0.00	0.00
Gm38411	0.00	0.00	0.00	0.00	0.00	0.00
Gm38412	0.00	0.00	0.00	0.00	0.00	0.00
Gm38413	0.00	0.00	0.00	0.00	0.00	0.00
Gm38414	0.00	0.00	0.00	0.00	0.00	0.00
Gm38415	0.00	0.00	0.00	0.00	0.00	0.00
Gm38416	0.00	0.00	0.00	0.00	0.00	0.00
Gm38418	0.00	0.00	0.00	0.00	0.00	0.00
Gm38423	0.00	0.00	0.00	0.00	0.00	0.00
Gm38424	0.36	1.07	1.37	3.03	6.04	3.24
Gm38425	0.00	0.10	0.00	0.00	0.00	0.00
Gm38426	0.00	0.00	0.60	0.00	0.26	0.00
Gm38427	1.61	0.00	0.00	0.00	0.00	0.00
Gm38431	1.06	0.00	2.48	0.00	1.64	0.63
Gm38438	0.00	0.00	0.00	0.00	0.00	0.00
Gm38439	0.00	0.00	0.00	0.00	0.00	0.00
Gm38442	0.00	0.00	0.00	0.00	0.00	0.00
Gm38444	0.54	0.10	0.00	0.00	0.19	0.00
Gm38446	0.00	0.00	0.00	0.00	0.00	0.00
Gm38450	0.00	0.00	0.00	0.00	0.00	0.00
Gm38452	0.00	0.00	0.00	0.00	0.00	0.00
Gm38455	0.00	0.00	0.12	0.00	3.02	2.37
Gm38456	0.00	0.04	0.19	0.00	0.00	0.00
Gm38460	0.00	0.00	0.00	0.00	0.00	0.00
Gm38462	0.00	0.00	0.00	0.00	0.00	0.00
Gm38464	0.00	0.00	0.00	0.20	0.00	0.00
Gm38467	0.00	0.00	0.00	0.00	0.00	0.00
Gm38468	0.00	0.89	0.00	0.00	0.00	0.00
Gm38469	0.00	0.08	0.23	0.00	0.00	0.00
Gm38471	0.00	0.00	0.00	0.00	0.00	0.00
Gm38472	0.00	0.00	0.00	0.00	0.00	0.00
Gm38474	0.00	0.00	0.00	0.00	0.00	0.00
Gm38477	0.00	0.00	0.00	0.00	0.00	0.00
Gm38482	1.38	0.52	0.00	0.51	0.28	0.00
Gm38483	0.00	0.00	0.00	0.05	0.00	0.00
Gm38484	0.00	0.00	0.00	0.00	0.00	0.00
Gm38485	1.66	1.41	1.67	4.81	4.81	5.14
Gm38486	0.29	0.12	0.18	0.42	0.10	0.21
Gm38487	1.14	0.00	0.55	0.00	0.00	0.00
Gm38490	0.00	0.00	0.00	0.00	0.00	0.00
Gm38491	0.00	0.00	0.00	0.00	0.00	0.00
Gm38492	0.00	0.00	0.00	0.00	0.00	0.00
Gm38494	0.00	0.00	0.00	0.00	0.00	0.00
Gm38498	0.00	0.00	0.00	0.00	0.00	0.00
Gm38499	1.01	1.02	6.11	10.48	6.05	5.52
Gm38500	10.61	10.66	25.60	40.92	46.99	24.98
Gm38501	0.00	0.00	0.10	0.36	0.17	0.08
Gm38502	0.00	0.00	0.00	0.00	0.00	0.00
Gm38503	0.48	0.31	1.27	0.36	1.52	0.08
Gm38504	0.00	0.00	0.00	0.00	0.00	0.00
Gm38505	0.00	0.00	0.00	0.00	0.00	0.00
Gm38506	0.00	0.00	0.00	0.00	0.00	0.00
Gm38509	0.00	0.00	0.00	0.00	0.00	0.00
Gm38510	0.00	0.00	0.00	3.89	2.47	2.45
Gm38512	0.00	0.00	0.00	0.00	0.00	0.00
Gm38513	0.00	0.00	0.00	0.00	0.00	0.00
Gm38514	0.00	0.00	0.00	0.84	0.00	0.54
Gm38515	26.89	4.78	7.83	6.12	5.96	4.78
Gm38516	0.00	0.00	0.00	0.00	0.00	0.00
Gm38521	0.60	0.05	0.00	0.00	0.00	0.83
Gm38523	0.00	0.00	0.00	0.00	0.00	0.00
Gm38524	0.00	0.00	0.00	0.00	0.00	0.07
Gm38525	1.15	7.51	58.45	910.58	1252.35	1343.24
Gm38527	0.00	0.00	0.00	0.00	0.07	0.00
Gm38528	2.03	0.89	0.00	0.00	0.00	0.00
Gm38529	0.39	0.41	0.78	0.77	0.58	0.18
Gm38530	0.00	0.00	0.00	0.00	0.00	0.00
Gm38531	0.00	0.00	0.00	0.00	0.00	0.00
Gm38534	0.00	0.00	0.00	0.00	0.00	0.00
Gm38535	0.00	0.00	0.00	0.00	0.00	0.00
Gm38537	0.00	0.00	0.00	0.00	0.00	0.00
Gm38538	0.00	0.00	0.00	0.00	0.00	0.00
Gm38539	0.00	0.00	0.00	0.00	0.00	0.00
Gm38540	0.60	0.68	0.00	0.00	0.00	0.00
Gm38542	0.00	0.00	0.00	0.00	0.00	0.00
Gm38543	0.00	0.00	0.36	1.17	4.51	3.20
Gm38545	0.00	0.00	0.00	0.00	0.00	0.00
Gm38546	0.00	0.00	0.00	0.00	0.00	0.00
Gm38551	0.00	0.00	0.00	0.00	0.00	0.00
Gm38552	0.00	0.00	0.00	0.00	0.00	0.00
Gm38553	0.29	0.08	0.29	1.34	2.20	0.99
Gm38554	0.00	0.00	0.00	0.00	0.00	0.00
Gm38555	0.00	0.36	0.22	2.66	0.59	0.00
Gm38557	0.00	0.00	0.00	0.00	0.00	0.00
Gm38559	0.00	0.00	0.00	0.00	0.00	0.00
Gm38560	0.00	0.32	0.00	0.76	0.26	0.00
Gm38561	1.80	1.22	1.78	1.81	2.14	2.02
Gm38562	0.00	0.00	0.00	0.00	0.00	0.00
Gm38563	0.00	0.00	0.00	0.00	0.00	0.00
Gm38564	0.00	0.00	0.00	0.00	0.00	0.00
Gm38565	0.03	0.00	0.00	0.00	0.00	0.58
Gm38568	0.00	0.00	0.00	0.00	0.00	0.00
Gm38569	0.00	0.00	0.00	0.00	0.27	0.00
Gm38571	0.00	0.00	0.00	0.00	0.00	0.00
Gm38572	0.00	0.00	0.00	0.00	0.00	0.00
Gm38573	0.00	0.00	0.00	0.00	0.00	0.00
Gm38574	0.00	0.00	0.38	0.00	0.00	0.00
Gm38576	0.00	0.00	0.00	0.00	0.00	0.00
Gm38577	0.00	0.00	0.00	0.00	0.00	0.00
Gm38579	0.00	0.00	0.81	0.00	0.00	0.00
Gm3858	0.00	0.00	0.00	0.00	0.00	0.00
Gm38580	0.00	0.00	0.00	0.00	0.00	0.00
Gm38581	0.00	0.00	0.00	0.00	0.00	0.00
Gm38583	0.00	0.00	0.00	0.00	0.00	0.00
Gm38584	0.00	0.00	0.00	0.00	0.00	0.00
Gm38585	0.00	0.00	0.00	0.00	0.00	0.00
Gm38587	0.00	0.00	0.00	0.00	0.00	0.00
Gm38588	0.00	0.00	0.00	0.00	0.00	0.00
Gm38590	0.00	0.00	0.00	0.00	0.00	0.00
Gm38592	3.27	1.63	0.86	6.97	11.42	9.64
Gm38594	0.00	0.00	0.00	0.00	0.00	0.00
Gm38595	0.00	0.00	0.00	0.00	0.00	0.00
Gm38596	0.00	0.00	0.00	0.00	0.00	0.00
Gm38597	0.00	0.00	0.00	0.00	0.00	0.00
Gm38598	0.00	0.00	0.00	0.00	0.00	0.00
Gm38599	0.00	0.00	0.00	0.71	0.75	0.00
Gm38600	0.00	0.00	0.00	0.00	0.00	0.00
Gm38601	0.00	0.00	0.00	0.00	0.00	0.00
Gm38603	0.00	0.00	0.00	0.00	0.00	0.00
Gm38604	0.30	0.04	0.12	0.02	0.00	0.02
Gm38605	0.00	0.00	0.00	0.00	0.00	0.00
Gm38606	0.00	0.00	0.00	0.00	0.00	0.00
Gm38610	0.00	0.00	0.00	0.00	0.00	0.00
Gm38612	0.00	0.00	0.00	0.00	0.00	0.00
Gm38618	0.00	0.00	0.12	0.00	0.00	0.00
Gm38619	0.00	0.00	0.00	0.00	0.00	0.00
Gm38620	0.00	0.00	0.00	0.00	0.00	0.00
Gm38621	0.21	0.00	0.05	0.00	0.00	0.00
Gm38623	0.00	0.00	0.00	0.00	0.00	0.00
Gm38625	0.00	0.00	0.00	0.00	0.00	0.00
Gm38627	0.00	0.00	0.00	0.00	0.00	0.00
Gm38628	0.00	0.00	0.00	0.00	0.00	0.00
Gm38629	0.00	0.00	0.00	0.00	0.00	0.00
Gm38630	0.00	0.00	0.00	0.00	0.00	0.00
Gm38631	0.00	0.00	0.00	0.00	0.00	0.00
Gm38632	0.00	0.00	0.00	0.00	0.00	0.00
Gm38634	0.79	0.15	0.35	0.00	0.49	0.00
Gm38636	0.00	0.00	0.00	0.00	0.00	0.00
Gm38639	13.69	5.99	4.79	0.00	0.00	0.00
Gm38640	0.00	0.00	0.00	0.00	0.00	0.00
Gm38641	0.24	0.18	0.11	0.00	0.39	0.36
Gm38642	0.00	0.00	0.00	0.00	0.00	0.00
Gm38643	0.00	0.00	0.00	0.00	0.00	0.00
Gm38646	0.00	0.00	0.00	0.00	0.00	0.00
Gm38647	0.00	0.00	0.00	0.00	0.00	0.00
Gm38648	0.00	0.00	0.00	0.00	0.00	0.00
Gm38649	0.57	0.14	0.01	0.50	0.78	0.05
Gm38650	0.10	0.00	0.00	0.00	0.00	0.00
Gm38651	0.39	0.00	0.06	0.00	0.49	0.27
Gm38653	0.00	0.00	0.00	0.08	0.11	0.00
Gm38656	0.00	0.00	0.00	0.00	0.00	0.00
Gm38657	0.00	0.00	0.00	0.00	0.00	0.00
Gm38658	0.00	0.00	0.00	0.00	0.00	0.00
Gm38659	0.00	0.00	0.00	0.00	0.00	0.00
Gm38660	0.00	0.00	0.00	0.00	0.00	0.00
Gm38661	0.00	0.00	0.00	0.00	0.00	0.00
Gm38664	0.00	0.00	0.00	0.24	0.08	0.00
Gm38666	0.00	0.00	0.00	0.00	0.00	0.00
Gm38667	0.00	0.00	0.03	0.00	0.05	0.00
Gm3867	0.00	0.00	0.00	0.00	0.00	0.00
Gm38670	0.00	0.00	0.00	0.00	0.00	0.00
Gm38671	0.00	0.00	0.00	0.00	0.00	0.00
Gm38673	0.00	0.00	0.00	0.00	0.00	0.00
Gm38678	0.00	0.00	0.00	0.00	0.00	0.00
Gm38679	0.11	0.00	0.11	0.07	0.00	0.00
Gm38684	0.00	0.00	0.00	0.00	0.00	0.00
Gm38686	0.00	0.00	0.00	0.00	0.00	0.00
Gm38687	0.00	0.61	0.00	0.00	0.50	0.45
Gm38691	0.00	0.00	0.00	0.00	0.00	0.00
Gm38699	0.00	0.00	0.00	0.00	0.00	0.00
Gm38702	0.40	0.15	0.00	0.00	0.00	0.00
Gm38704	0.00	0.16	0.45	0.00	0.00	0.00
Gm38708	10.09	0.72	0.14	0.00	0.00	0.00
Gm38709	0.02	0.01	0.11	0.46	1.54	0.70
Gm38712	0.64	0.00	0.00	0.00	0.00	0.00
Gm38718	0.37	0.21	0.45	0.52	0.46	0.23
Gm38722	0.00	0.00	0.00	0.00	0.00	0.00
Gm38725	0.00	0.00	0.00	0.00	0.00	0.00
Gm38726	0.00	0.00	0.00	0.00	0.00	0.00
Gm38727	0.00	0.00	0.00	0.00	0.00	0.00
Gm38728	3.47	3.02	4.21	6.70	2.37	3.53
Gm38729	0.00	0.00	0.00	0.00	0.00	0.00
Gm38730	0.00	0.00	0.00	0.00	0.00	0.00
Gm38732	0.00	0.00	0.00	0.00	0.00	0.00
Gm38733	8.29	14.40	24.94	72.44	102.09	28.18
Gm38734	0.00	0.00	0.00	0.00	0.00	0.00
Gm38735	0.00	0.00	0.00	0.00	0.00	0.00
Gm38736	0.00	0.00	0.00	0.00	0.00	0.00
Gm38737	0.00	0.00	0.00	0.00	0.00	0.00
Gm38739	0.00	0.00	0.00	0.00	0.00	0.40
Gm38744	0.00	0.00	0.00	0.00	0.00	0.00
Gm38745	0.00	0.00	0.00	0.00	0.00	0.00
Gm38747	0.00	0.00	0.00	0.00	0.00	0.00
Gm38748	0.00	0.00	0.00	0.00	0.00	0.00
Gm38750	0.00	0.00	0.00	0.00	0.00	0.00
Gm38751	0.00	0.00	0.00	0.00	0.00	0.00
Gm38752	0.00	0.00	0.29	0.36	0.00	0.37
Gm38753	0.00	0.00	0.00	0.00	0.00	0.00
Gm38754	0.00	0.00	0.00	0.00	0.00	0.00
Gm38755	0.00	0.00	0.00	0.00	0.00	0.00
Gm38759	0.00	0.00	0.00	0.00	0.00	0.00
Gm38761	0.00	0.00	0.00	0.00	0.00	0.00
Gm38762	0.00	0.00	0.00	0.00	0.00	0.00
Gm38765	0.00	0.00	0.00	0.00	0.00	0.00
Gm38767	0.00	0.00	0.00	0.00	0.00	0.00
Gm38768	0.00	0.00	0.00	0.00	0.00	0.00
Gm38772	0.00	0.00	0.00	0.00	0.00	0.00
Gm38773	0.00	0.00	0.00	0.00	0.00	0.00
Gm38774	0.00	0.00	0.00	0.00	0.00	0.00
Gm38775	0.00	0.00	0.00	0.00	0.00	0.00
Gm38776	0.00	0.00	0.00	0.00	0.00	0.00
Gm38777	0.00	0.00	0.00	0.00	0.00	0.00
Gm38778	0.00	0.00	0.00	0.00	0.00	0.00
Gm38779	0.00	0.00	0.00	0.00	0.00	0.00
Gm38780	0.00	0.00	0.00	0.00	0.00	0.00
Gm38781	0.12	0.62	1.51	0.63	1.46	0.67
Gm38782	0.00	0.00	0.00	0.00	0.00	0.00
Gm38785	0.97	0.26	0.55	0.30	0.24	0.23
Gm38786	0.00	0.00	0.00	0.00	0.00	0.00
Gm38787	0.00	0.00	0.00	0.00	0.00	0.00
Gm38789	0.00	0.00	0.00	0.00	0.00	0.00
